x	 u	 u_exact
0.482893	-0.114768	0.110400
0.483871	-0.108798	0.104293
0.484848	-0.102618	0.098183
0.485826	-0.096452	0.092069
0.486804	-0.090465	0.085951
0.487781	-0.084237	0.079831
0.488759	-0.078112	0.073707
0.489736	-0.072092	0.067580
0.490714	-0.065835	0.061451
0.491691	-0.059752	0.055320
0.492669	-0.053686	0.049186
0.493646	-0.047420	0.043051
0.494624	-0.041373	0.036914
0.495601	-0.035255	0.030775
0.496579	-0.029001	0.024636
0.497556	-0.022978	0.018495
0.498534	-0.016808	0.012354
0.499511	-0.010584	0.006213
0.500489	-0.004571	0.000071
0.501466	0.001645	-0.006071
0.502444	0.007826	-0.012213
0.503421	0.013845	-0.018354
0.504399	0.020094	-0.024495
0.505376	0.026225	-0.030634
0.506354	0.032265	-0.036773
0.507331	0.038530	-0.042910
0.508309	0.044609	-0.049045
0.509286	0.050681	-0.055179
0.510264	0.056943	-0.061310
0.511241	0.062975	-0.067439
0.512219	0.069086	-0.073566
0.513196	0.075326	-0.079690
0.514174	0.081321	-0.085811
0.515152	0.087473	-0.091928
0.516129	0.093672	-0.098042
0.517107	0.099644	-0.104153
0.518084	0.105830	-0.110259
0.519062	0.111974	-0.116362
0.520039	0.117941	-0.122460
0.521017	0.124148	-0.128553
0.521994	0.130230	-0.134641
0.522972	0.136207	-0.140725
0.523949	0.142416	-0.146803
0.524927	0.148436	-0.152876
0.525904	0.154435	-0.158942
0.526882	0.160624	-0.165003
0.527859	0.166593	-0.171058
0.528837	0.172616	-0.177106
0.529814	0.178765	-0.183147
0.530792	0.184698	-0.189182
0.531769	0.190739	-0.195209
0.532747	0.196834	-0.201229
0.533724	0.202750	-0.207242
0.534702	0.208790	-0.213246
0.535679	0.214829	-0.219243
0.536657	0.220742	-0.225231
0.537634	0.226760	-0.231211
0.538612	0.232751	-0.237182
0.539589	0.238664	-0.243144
0.540567	0.244640	-0.249097
0.541544	0.250601	-0.255041
0.542522	0.256504	-0.260975
0.543500	0.262426	-0.266899
0.544477	0.268374	-0.272813
0.545455	0.274249	-0.278717
0.546432	0.280119	-0.284610
0.547410	0.286065	-0.290493
0.548387	0.291889	-0.296364
0.549365	0.297720	-0.302225
0.550342	0.303662	-0.308073
0.551320	0.309416	-0.313911
0.552297	0.315229	-0.319736
0.553275	0.321149	-0.325550
0.554252	0.326831	-0.331351
0.555230	0.332642	-0.337140
0.556207	0.338514	-0.342916
0.557185	0.344137	-0.348679
0.558162	0.349947	-0.354428
0.559140	0.355748	-0.360165
0.560117	0.361337	-0.365888
0.561095	0.367128	-0.371597
0.562072	0.372852	-0.377292
0.563050	0.378428	-0.382973
0.564027	0.384169	-0.388639
0.565005	0.389829	-0.394291
0.565982	0.395400	-0.399928
0.566960	0.401062	-0.405550
0.567937	0.406684	-0.411156
0.568915	0.412235	-0.416747
0.569892	0.417805	-0.422322
0.570870	0.423417	-0.427882
0.571848	0.428916	-0.433425
0.572825	0.434406	-0.438952
0.573803	0.440014	-0.444462
0.574780	0.445434	-0.449955
0.575758	0.450870	-0.455432
0.576735	0.456457	-0.460891
0.577713	0.461790	-0.466333
0.578690	0.467197	-0.471758
0.579668	0.472727	-0.477164
0.580645	0.477994	-0.482553
0.581623	0.483372	-0.487923
0.582600	0.488815	-0.493275
0.583578	0.494053	-0.498608
0.584555	0.499375	-0.503923
0.585533	0.504726	-0.509219
0.586510	0.509960	-0.514495
0.587488	0.515189	-0.519752
0.588465	0.520472	-0.524989
0.589443	0.525699	-0.530207
0.590420	0.530811	-0.535404
0.591398	0.536055	-0.540581
0.592375	0.541247	-0.545738
0.593353	0.546252	-0.550875
0.594330	0.551467	-0.555990
0.595308	0.556587	-0.561085
0.596285	0.561526	-0.566158
0.597263	0.566685	-0.571210
0.598240	0.571724	-0.576241
0.599218	0.576633	-0.581250
0.600196	0.581687	-0.586236
0.601173	0.586669	-0.591201
0.602151	0.591553	-0.596144
0.603128	0.596470	-0.601063
0.604106	0.601431	-0.605961
0.605083	0.606263	-0.610835
0.606061	0.611048	-0.615686
0.607038	0.615997	-0.620515
0.608016	0.620746	-0.625319
0.608993	0.625440	-0.630100
0.609971	0.630339	-0.634858
0.610948	0.635008	-0.639591
0.611926	0.639645	-0.644301
0.612903	0.644435	-0.648986
0.613881	0.649065	-0.653646
0.614858	0.653642	-0.658282
0.615836	0.658289	-0.662893
0.616813	0.662920	-0.667479
0.617791	0.667405	-0.672040
0.618768	0.671921	-0.676575
0.619746	0.676548	-0.681085
0.620723	0.680928	-0.685569
0.621701	0.685350	-0.690028
0.622678	0.689918	-0.694460
0.623656	0.694224	-0.698866
0.624633	0.698567	-0.703246
0.625611	0.703015	-0.707600
0.626588	0.707307	-0.711926
0.627566	0.711548	-0.716226
0.628543	0.715855	-0.720499
0.629521	0.720162	-0.724744
0.630499	0.724274	-0.728962
0.631476	0.728466	-0.733153
0.632454	0.732752	-0.737316
0.633431	0.736757	-0.741451
0.634409	0.740854	-0.745559
0.635386	0.745047	-0.749638
0.636364	0.749016	-0.753689
0.637341	0.752999	-0.757711
0.638319	0.757055	-0.761705
0.639296	0.761042	-0.765670
0.640274	0.764880	-0.769606
0.641251	0.768809	-0.773513
0.642229	0.772795	-0.777391
0.643206	0.776506	-0.781240
0.644184	0.780327	-0.785059
0.645161	0.784234	-0.788849
0.646139	0.787897	-0.792609
0.647116	0.791593	-0.796339
0.648094	0.795363	-0.800039
0.649071	0.799047	-0.803708
0.650049	0.802587	-0.807348
0.651026	0.806220	-0.810957
0.652004	0.809908	-0.814535
0.652981	0.813318	-0.818083
0.653959	0.816829	-0.821599
0.654936	0.820435	-0.825085
0.655914	0.823806	-0.828540
0.656891	0.827180	-0.831963
0.657869	0.830635	-0.835355
0.658847	0.834036	-0.838716
0.659824	0.837253	-0.842045
0.660802	0.840555	-0.845342
0.661779	0.843951	-0.848607
0.662757	0.847059	-0.851840
0.663734	0.850225	-0.855041
0.664712	0.853507	-0.858210
0.665689	0.856608	-0.861346
0.666667	0.859632	-0.864450
0.667644	0.862732	-0.867522
0.668622	0.865869	-0.870560
0.669599	0.868758	-0.873566
0.670577	0.871689	-0.876539
0.671554	0.874775	-0.879479
0.672532	0.877607	-0.882385
0.673509	0.880403	-0.885258
0.674487	0.883312	-0.888098
0.675464	0.886170	-0.890905
0.676442	0.888848	-0.893678
0.677419	0.891540	-0.896417
0.678397	0.894396	-0.899122
0.679374	0.896995	-0.901793
0.680352	0.899532	-0.904430
0.681329	0.902239	-0.907034
0.682307	0.904835	-0.909603
0.683284	0.907281	-0.912137
0.684262	0.909740	-0.914638
0.685239	0.912340	-0.917103
0.686217	0.914728	-0.919534
0.687195	0.916993	-0.921931
0.688172	0.919471	-0.924293
0.689150	0.921832	-0.926619
0.690127	0.924028	-0.928911
0.691105	0.926247	-0.931168
0.692082	0.928583	-0.933390
0.693060	0.930766	-0.935576
0.694037	0.932762	-0.937728
0.695015	0.934974	-0.939843
0.695992	0.937124	-0.941924
0.696970	0.939066	-0.943969
0.697947	0.941026	-0.945978
0.698925	0.943095	-0.947951
0.699902	0.945075	-0.949889
0.700880	0.946812	-0.951791
0.701857	0.948725	-0.953657
0.702835	0.950668	-0.955487
0.703812	0.952375	-0.957281
0.704790	0.954055	-0.959039
0.705767	0.955844	-0.960761
0.706745	0.957623	-0.962446
0.707722	0.959124	-0.964096
0.708700	0.960708	-0.965709
0.709677	0.962425	-0.967285
0.710655	0.963929	-0.968825
0.711632	0.965326	-0.970328
0.712610	0.966805	-0.971795
0.713587	0.968373	-0.973225
0.714565	0.969677	-0.974618
0.715543	0.970921	-0.975975
0.716520	0.972362	-0.977295
0.717498	0.973688	-0.978578
0.718475	0.974835	-0.979824
0.719453	0.975971	-0.981033
0.720430	0.977287	-0.982205
0.721408	0.978435	-0.983340
0.722385	0.979373	-0.984438
0.723363	0.980471	-0.985499
0.724340	0.981599	-0.986522
0.725318	0.982563	-0.987509
0.726295	0.983361	-0.988458
0.727273	0.984344	-0.989369
0.728250	0.985340	-0.990244
0.729228	0.986060	-0.991081
0.730205	0.986782	-0.991881
0.731183	0.987623	-0.992643
0.732160	0.988450	-0.993368
0.733138	0.988996	-0.994056
0.734115	0.989577	-0.994706
0.735093	0.990334	-0.995318
0.736070	0.990927	-0.995893
0.737048	0.991345	-0.996430
0.738025	0.991788	-0.996930
0.739003	0.992413	-0.997392
0.739980	0.992832	-0.997816
0.740958	0.993064	-0.998203
0.741935	0.993431	-0.998552
0.742913	0.993865	-0.998864
0.743891	0.994139	-0.999138
0.744868	0.994197	-0.999374
0.745846	0.994446	-0.999572
0.746823	0.994740	-0.999733
0.747801	0.994809	-0.999856
0.748778	0.994760	-0.999941
0.749756	0.994838	-0.999989
0.750733	0.995012	-0.999999
0.751711	0.994890	-0.999971
0.752688	0.994701	-0.999905
0.753666	0.994653	-0.999802
0.754643	0.994646	-0.999661
0.755621	0.994399	-0.999482
0.756598	0.994022	-0.999266
0.757576	0.993865	-0.999012
0.758553	0.993682	-0.998720
0.759531	0.993292	-0.998391
0.760508	0.992767	-0.998023
0.761486	0.992440	-0.997619
0.762463	0.992141	-0.997176
0.763441	0.991567	-0.996696
0.764418	0.990922	-0.996179
0.765396	0.990409	-0.995623
0.766373	0.989984	-0.995031
0.767351	0.989267	-0.994400
0.768328	0.988453	-0.993732
0.769306	0.987799	-0.993027
0.770283	0.987201	-0.992284
0.771261	0.986387	-0.991504
0.772239	0.985382	-0.990686
0.773216	0.984579	-0.989831
0.774194	0.983827	-0.988939
0.775171	0.982893	-0.988010
0.776149	0.981744	-0.987043
0.777126	0.980735	-0.986039
0.778104	0.979868	-0.984997
0.779081	0.978791	-0.983919
0.780059	0.977524	-0.982803
0.781036	0.976300	-0.981650
0.782014	0.975291	-0.980461
0.782991	0.974112	-0.979234
0.783969	0.972701	-0.977970
0.784946	0.971300	-0.976670
0.785924	0.970092	-0.975332
0.786901	0.968847	-0.973958
0.787879	0.967293	-0.972547
0.788856	0.965721	-0.971100
0.789834	0.964305	-0.969616
0.790811	0.962960	-0.968095
0.791789	0.961325	-0.966538
