x	 u	 u_exact
0.353861	-0.793781	-0.794520
0.354839	-0.789973	-0.790776
0.355816	-0.786366	-0.787001
0.356794	-0.782511	-0.783197
0.357771	-0.778456	-0.779364
0.358749	-0.774634	-0.775501
0.359726	-0.770888	-0.771608
0.360704	-0.766826	-0.767687
0.361681	-0.762696	-0.763737
0.362659	-0.758832	-0.759757
0.363636	-0.754918	-0.755750
0.364614	-0.750686	-0.751713
0.365591	-0.746500	-0.747649
0.366569	-0.742563	-0.743556
0.367546	-0.738479	-0.739435
0.368524	-0.734108	-0.735286
0.369501	-0.729865	-0.731109
0.370479	-0.725833	-0.726905
0.371457	-0.721591	-0.722674
0.372434	-0.717103	-0.718415
0.373412	-0.712790	-0.714129
0.374389	-0.708653	-0.709816
0.375367	-0.704275	-0.705476
0.376344	-0.699679	-0.701110
0.377322	-0.695280	-0.696717
0.378299	-0.691038	-0.692298
0.379277	-0.686544	-0.687853
0.380254	-0.681843	-0.683382
0.381232	-0.677341	-0.678885
0.382209	-0.672999	-0.674363
0.383187	-0.668412	-0.669815
0.384164	-0.663607	-0.665242
0.385142	-0.658985	-0.660644
0.386119	-0.654544	-0.656020
0.387097	-0.649888	-0.651372
0.388074	-0.644985	-0.646700
0.389052	-0.640225	-0.642003
0.390029	-0.635682	-0.637282
0.391007	-0.630979	-0.632537
0.391984	-0.625993	-0.627768
0.392962	-0.621080	-0.622975
0.393939	-0.616417	-0.618159
0.394917	-0.611685	-0.613319
0.395894	-0.606648	-0.608457
0.396872	-0.601576	-0.603571
0.397849	-0.596760	-0.598663
0.398827	-0.591998	-0.593732
0.399804	-0.586956	-0.588779
0.400782	-0.581748	-0.583803
0.401760	-0.576737	-0.578805
0.402737	-0.571909	-0.573786
0.403715	-0.566903	-0.568745
0.404692	-0.561624	-0.563682
0.405670	-0.556397	-0.558599
0.406647	-0.551426	-0.553494
0.407625	-0.546457	-0.548368
0.408602	-0.541202	-0.543222
0.409580	-0.535802	-0.538055
0.410557	-0.530597	-0.532868
0.411535	-0.525585	-0.527660
0.412512	-0.520427	-0.522433
0.413490	-0.514985	-0.517186
0.414467	-0.509529	-0.511920
0.415445	-0.504320	-0.506634
0.416422	-0.499214	-0.501329
0.417400	-0.493884	-0.496005
0.418377	-0.488311	-0.490663
0.419355	-0.482807	-0.485302
0.420332	-0.477555	-0.479923
0.421310	-0.472345	-0.474525
0.422287	-0.466885	-0.469110
0.423265	-0.461211	-0.463677
0.424242	-0.455637	-0.458227
0.425220	-0.450310	-0.452759
0.426197	-0.445015	-0.447274
0.427175	-0.439472	-0.441772
0.428152	-0.433713	-0.436254
0.429130	-0.428035	-0.430719
0.430108	-0.422604	-0.425168
0.431085	-0.417245	-0.419601
0.432063	-0.411672	-0.414018
0.433040	-0.405852	-0.408419
0.434018	-0.400042	-0.402805
0.434995	-0.394466	-0.397176
0.435973	-0.389041	-0.391532
0.436950	-0.383487	-0.385873
0.437928	-0.377662	-0.380200
0.438905	-0.371725	-0.374512
0.439883	-0.365948	-0.368810
0.440860	-0.360401	-0.363094
0.441838	-0.354880	-0.357364
0.442815	-0.349140	-0.351621
0.443793	-0.343162	-0.345865
0.444770	-0.337171	-0.340096
0.445748	-0.331387	-0.334313
0.446725	-0.325800	-0.328519
0.447703	-0.320186	-0.322711
0.448680	-0.314336	-0.316892
0.449658	-0.308270	-0.311061
0.450635	-0.302203	-0.305218
0.451613	-0.296341	-0.299363
0.452590	-0.290680	-0.293497
0.453568	-0.285021	-0.287620
0.454545	-0.279158	-0.281733
0.455523	-0.273057	-0.275834
0.456500	-0.266887	-0.269925
0.457478	-0.260862	-0.264006
0.458456	-0.255064	-0.258077
0.459433	-0.249378	-0.252139
0.460411	-0.243593	-0.246190
0.461388	-0.237574	-0.240233
0.462366	-0.231361	-0.234266
0.463343	-0.225131	-0.228291
0.464321	-0.219066	-0.222307
0.465298	-0.213218	-0.216315
0.466276	-0.207482	-0.210314
0.467253	-0.201673	-0.204306
0.468231	-0.195654	-0.198289
0.469208	-0.189421	-0.192266
0.470186	-0.183100	-0.186235
0.471163	-0.176864	-0.180197
0.472141	-0.170825	-0.174152
0.473118	-0.164977	-0.168101
0.474096	-0.159206	-0.162043
0.475073	-0.153355	-0.155979
0.476051	-0.147313	-0.149910
0.477028	-0.141062	-0.143835
0.478006	-0.134683	-0.137754
0.478983	-0.128310	-0.131668
0.479961	-0.122067	-0.125577
0.480938	-0.116017	-0.119481
0.481916	-0.110140	-0.113381
0.482893	-0.104351	-0.107277
0.483871	-0.098534	-0.101168
0.484848	-0.092590	-0.095056
0.485826	-0.086462	-0.088940
0.486804	-0.080154	-0.082821
0.487781	-0.073717	-0.076699
0.488759	-0.067235	-0.070573
0.489736	-0.060795	-0.064445
0.490714	-0.054467	-0.058315
0.491691	-0.048296	-0.052183
0.492669	-0.042294	-0.046048
0.493646	-0.036445	-0.039912
0.494624	-0.030719	-0.033774
0.495601	-0.025077	-0.027635
0.496579	-0.019485	-0.021495
0.497556	-0.013914	-0.015354
0.498534	-0.008348	-0.009213
0.499511	-0.002781	-0.003071
0.500489	0.002787	0.003071
0.501466	0.008355	0.009213
0.502444	0.013920	0.015354
0.503421	0.019490	0.021495
0.504399	0.025082	0.027635
0.505376	0.030723	0.033774
0.506354	0.036448	0.039912
0.507331	0.042295	0.046048
0.508309	0.048296	0.052183
0.509286	0.054465	0.058315
0.510264	0.060791	0.064445
0.511241	0.067229	0.070573
0.512219	0.073708	0.076699
0.513196	0.080142	0.082821
0.514174	0.086447	0.088940
0.515152	0.092571	0.095056
0.516129	0.098512	0.101168
0.517107	0.104324	0.107277
0.518084	0.110110	0.113381
0.519062	0.115982	0.119481
0.520039	0.122028	0.125577
0.521017	0.128266	0.131668
0.521994	0.134634	0.137754
0.522972	0.141008	0.143835
0.523949	0.147253	0.149910
0.524927	0.153290	0.155979
0.525904	0.159135	0.162043
0.526882	0.164900	0.168101
0.527859	0.170741	0.174152
0.528837	0.176774	0.180197
0.529814	0.183003	0.186235
0.530792	0.189317	0.192266
0.531769	0.195543	0.198289
0.532747	0.201555	0.204306
0.533724	0.207356	0.210314
0.534702	0.213084	0.216315
0.535679	0.218923	0.222307
0.536657	0.224980	0.228291
0.537634	0.231201	0.234266
0.538612	0.237406	0.240233
0.539589	0.243416	0.246190
0.540567	0.249191	0.252139
0.541544	0.254868	0.258077
0.542522	0.260656	0.264006
0.543500	0.266671	0.269925
0.544477	0.272831	0.275834
0.545455	0.278921	0.281733
0.546432	0.284774	0.287620
0.547410	0.290422	0.293497
0.548387	0.296072	0.299363
0.549365	0.301923	0.305218
0.550342	0.307978	0.311061
0.551320	0.314033	0.316892
0.552297	0.319870	0.322711
0.553275	0.325473	0.328519
0.554252	0.331047	0.334313
0.555230	0.336818	0.340096
0.556207	0.342796	0.345865
0.557185	0.348761	0.351621
0.558162	0.354488	0.357364
0.559140	0.359996	0.363094
0.560117	0.365529	0.368810
0.561095	0.371292	0.374512
0.562072	0.377215	0.380200
0.563050	0.383026	0.385873
0.564027	0.388565	0.391532
0.565005	0.393974	0.397176
0.565982	0.399536	0.402805
0.566960	0.405331	0.408419
0.567937	0.411135	0.414018
0.568915	0.416693	0.419601
0.569892	0.422036	0.425168
0.570870	0.427451	0.430719
0.571848	0.433113	0.436254
0.572825	0.438855	0.441772
0.573803	0.444381	0.447274
0.574780	0.449659	0.452759
0.575758	0.454969	0.458227
0.576735	0.460526	0.463677
0.577713	0.466182	0.469110
0.578690	0.471625	0.474525
0.579668	0.476817	0.479923
0.580645	0.482051	0.485302
0.581623	0.487536	0.490663
0.582600	0.493091	0.496005
0.583578	0.498402	0.501329
0.584555	0.503490	0.506634
0.585533	0.508679	0.511920
0.586510	0.514115	0.517186
0.587488	0.519538	0.522433
0.588465	0.524677	0.527660
0.589443	0.529669	0.532868
0.590420	0.534853	0.538055
0.591398	0.540233	0.543222
0.592375	0.545468	0.548368
0.593353	0.550415	0.553494
0.594330	0.555366	0.558599
0.595308	0.560572	0.563682
0.596285	0.565830	0.568745
0.597263	0.570815	0.573786
0.598240	0.575621	0.578805
0.599218	0.580610	0.583803
0.600196	0.585795	0.588779
