x	 u	 u_exact
0.757576	0.998686	0.998867
0.758553	0.998406	0.998556
0.759531	0.998052	0.998208
0.760508	0.997579	0.997821
0.761486	0.997207	0.997397
0.762463	0.996702	0.996935
0.763441	0.996144	0.996436
0.764418	0.995662	0.995899
0.765396	0.995011	0.995325
0.766373	0.994381	0.994713
0.767351	0.993768	0.994063
0.768328	0.992988	0.993376
0.769306	0.992287	0.992652
0.770283	0.991522	0.991890
0.771261	0.990640	0.991091
0.772239	0.989853	0.990254
0.773216	0.988931	0.989380
0.774194	0.987971	0.988468
0.775171	0.987071	0.987520
0.776149	0.986003	0.986534
0.777126	0.984980	0.985511
0.778104	0.983936	0.984450
0.779081	0.982752	0.983353
0.780059	0.981657	0.982218
0.781036	0.980452	0.981047
0.782014	0.979187	0.979838
0.782991	0.977989	0.978592
0.783969	0.976631	0.977310
0.784946	0.975306	0.975990
0.785924	0.973968	0.974634
0.786901	0.972491	0.973241
0.787879	0.971099	0.971812
0.788856	0.969598	0.970345
0.789834	0.968044	0.968842
0.790811	0.966548	0.967303
0.791789	0.964895	0.965727
0.792766	0.963287	0.964114
0.793744	0.961644	0.962466
0.794721	0.959882	0.960781
0.795699	0.958204	0.959059
0.796676	0.956394	0.957302
0.797654	0.954571	0.955508
0.798631	0.952772	0.953678
0.799609	0.950826	0.951813
0.800587	0.948950	0.949911
0.801564	0.946990	0.947974
0.802542	0.944962	0.946001
0.803519	0.942994	0.943992
0.804497	0.940878	0.941948
0.805474	0.938803	0.939868
0.806452	0.936687	0.937752
0.807429	0.934468	0.935601
0.808407	0.932323	0.933415
0.809384	0.930043	0.931194
0.810362	0.927773	0.928938
0.811339	0.925496	0.926646
0.812317	0.923097	0.924320
0.813294	0.920771	0.921958
0.814272	0.918328	0.919562
0.815249	0.915873	0.917131
0.816227	0.913430	0.914666
0.817204	0.910856	0.912166
0.818182	0.908353	0.909632
0.819159	0.905745	0.907063
0.820137	0.903112	0.904461
0.821114	0.900499	0.901824
0.822092	0.897757	0.899153
0.823069	0.895080	0.896448
0.824047	0.892305	0.893709
0.825024	0.889501	0.890937
0.826002	0.886719	0.888131
0.826979	0.883810	0.885291
0.827957	0.880965	0.882418
0.828935	0.878020	0.879512
0.829912	0.875054	0.876573
0.830890	0.872102	0.873600
0.831867	0.869029	0.870595
0.832845	0.866021	0.867557
0.833822	0.862906	0.864486
0.834800	0.859784	0.861382
0.835777	0.856660	0.858246
0.836755	0.853429	0.855078
0.837732	0.850260	0.851877
0.838710	0.846976	0.848644
0.839687	0.843706	0.845379
0.840665	0.840409	0.842083
0.841642	0.837026	0.838754
