x	 u	 u_exact
0.341153	0.540615	0.541932
0.342131	0.545772	0.547083
0.343109	0.550908	0.552214
0.344086	0.556023	0.557324
0.345064	0.561118	0.562414
0.346041	0.566191	0.567481
0.347019	0.571243	0.572528
0.347996	0.576273	0.577553
0.348974	0.581282	0.582556
0.349951	0.586269	0.587537
0.350929	0.591233	0.592496
0.351906	0.596176	0.597432
0.352884	0.601096	0.602346
0.353861	0.605993	0.607238
0.354839	0.610867	0.612106
0.355816	0.615718	0.616951
0.356794	0.620546	0.621773
0.357771	0.625351	0.626572
0.358749	0.630132	0.631347
0.359726	0.634889	0.636098
0.360704	0.639622	0.640825
0.361681	0.644332	0.645528
0.362659	0.649016	0.650207
0.363636	0.653677	0.654861
0.364614	0.658313	0.659490
0.365591	0.662923	0.664095
0.366569	0.667509	0.668674
0.367546	0.672070	0.673228
0.368524	0.676605	0.677757
0.369501	0.681115	0.682260
0.370479	0.685599	0.686738
0.371457	0.690058	0.691189
0.372434	0.694490	0.695615
0.373412	0.698896	0.700014
0.374389	0.703276	0.704387
0.375367	0.707629	0.708734
0.376344	0.711955	0.713053
0.377322	0.716255	0.717346
0.378299	0.720527	0.721611
0.379277	0.724773	0.725850
0.380254	0.728991	0.730061
0.381232	0.733181	0.734244
0.382209	0.737344	0.738400
0.383187	0.741479	0.742528
0.384164	0.745586	0.746628
0.385142	0.749665	0.750700
0.386119	0.753716	0.754743
0.387097	0.757738	0.758758
0.388074	0.761732	0.762744
0.389052	0.765697	0.766702
0.390029	0.769633	0.770631
0.391007	0.773540	0.774530
0.391984	0.777418	0.778401
0.392962	0.781266	0.782242
0.393939	0.785085	0.786053
0.394917	0.788875	0.789835
0.395894	0.792635	0.793587
0.396872	0.796364	0.797309
0.397849	0.800064	0.801001
0.398827	0.803734	0.804663
0.399804	0.807373	0.808294
0.400782	0.810982	0.811895
0.401760	0.814560	0.815466
0.402737	0.818107	0.819005
0.403715	0.821624	0.822514
0.404692	0.825109	0.825992
0.405670	0.828564	0.829438
0.406647	0.831987	0.832853
0.407625	0.835379	0.836237
0.408602	0.838739	0.839589
0.409580	0.842068	0.842910
0.410557	0.845365	0.846199
0.411535	0.848630	0.849455
0.412512	0.851863	0.852680
0.413490	0.855064	0.855873
0.414467	0.858232	0.859033
0.415445	0.861369	0.862161
0.416422	0.864472	0.865257
0.417400	0.867544	0.868319
0.418377	0.870582	0.871349
0.419355	0.873588	0.874347
0.420332	0.876560	0.877311
0.421310	0.879500	0.880242
0.422287	0.882406	0.883140
0.423265	0.885279	0.886004
0.424242	0.888119	0.888835
0.425220	0.890925	0.891633
0.426197	0.893698	0.894397
0.427175	0.896437	0.897127
0.428152	0.899142	0.899824
0.429130	0.901813	0.902486
0.430108	0.904450	0.905115
0.431085	0.907053	0.907709
0.432063	0.909622	0.910269
0.433040	0.912156	0.912794
0.434018	0.914656	0.915286
0.434995	0.917122	0.917742
0.435973	0.919553	0.920165
0.436950	0.921949	0.922552
0.437928	0.924311	0.924905
0.438905	0.926637	0.927222
0.439883	0.928929	0.929505
0.440860	0.931185	0.931753
0.441838	0.933407	0.933965
0.442815	0.935593	0.936142
0.443793	0.937744	0.938284
0.444770	0.939860	0.940391
0.445748	0.941940	0.942462
0.446725	0.943985	0.944497
0.447703	0.945994	0.946497
0.448680	0.947967	0.948462
0.449658	0.949905	0.950390
0.450635	0.951806	0.952283
0.451613	0.953672	0.954139
0.452590	0.955502	0.955960
0.453568	0.957296	0.957745
0.454545	0.959054	0.959493
0.455523	0.960775	0.961205
0.456500	0.962460	0.962881
0.457478	0.964109	0.964521
0.458456	0.965722	0.966124
0.459433	0.967298	0.967691
0.460411	0.968838	0.969221
0.461388	0.970341	0.970715
0.462366	0.971808	0.972172
0.463343	0.973237	0.973593
0.464321	0.974631	0.974977
0.465298	0.975987	0.976324
0.466276	0.977307	0.977634
0.467253	0.978589	0.978907
0.468231	0.979835	0.980144
0.469208	0.981044	0.981343
0.470186	0.982216	0.982505
0.471163	0.983351	0.983631
0.472141	0.984448	0.984719
0.473118	0.985509	0.985770
0.474096	0.986532	0.986784
0.475073	0.987518	0.987760
0.476051	0.988467	0.988700
0.477028	0.989379	0.989602
0.478006	0.990253	0.990467
0.478983	0.991090	0.991294
0.479961	0.991890	0.992084
0.480938	0.992652	0.992836
0.481916	0.993376	0.993552
0.482893	0.994064	0.994229
0.483871	0.994713	0.994869
0.484848	0.995326	0.995472
0.485826	0.995900	0.996037
0.486804	0.996437	0.996564
0.487781	0.996937	0.997054
0.488759	0.997399	0.997507
0.489736	0.997823	0.997921
0.490714	0.998210	0.998298
0.491691	0.998558	0.998638
0.492669	0.998870	0.998939
0.493646	0.999143	0.999203
0.494624	0.999379	0.999429
0.495601	0.999578	0.999618
0.496579	0.999738	0.999769
0.497556	0.999861	0.999882
0.498534	0.999946	0.999958
0.499511	0.999993	0.999995
0.500489	1.000003	0.999995
0.501466	0.999975	0.999958
0.502444	0.999909	0.999882
0.503421	0.999805	0.999769
0.504399	0.999664	0.999618
0.505376	0.999485	0.999429
0.506354	0.999269	0.999203
